iteration,timestamp,client_id,operation,target,phase,failed_node,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
29,1789628687.1411512,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,57,58,58,,0,majority,majority,True,failure,1.5,True,False,
30,1789628687.1428108,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,59,60,60,,0,majority,majority,True,failure,1.66,True,False,
31,1789628687.1444592,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,61,62,62,,0,majority,majority,True,failure,1.65,True,False,
32,1789628687.1462564,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,63,64,64,,0,majority,majority,True,failure,1.79,True,False,
33,1789628687.1476805,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,65,66,65,,0,majority,majority,True,failure,1.42,True,False,
34,1789628687.1493056,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,67,68,68,,0,majority,majority,True,failure,1.62,True,False,
35,1789628687.1507714,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,69,70,70,,0,majority,majority,True,failure,1.46,True,False,
36,1789628687.152413,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,71,72,72,,0,majority,majority,True,failure,1.64,True,False,
37,1789628687.154058,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,73,74,74,,0,majority,majority,True,failure,1.64,True,False,
38,1789628687.1556904,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,75,76,75,,0,majority,majority,True,failure,1.63,True,False,
39,1789628687.157279,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,77,78,78,,0,majority,majority,True,failure,1.58,True,False,
40,1789628687.1590424,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,79,80,80,,0,majority,majority,True,failure,1.76,True,False,
41,1789628687.1607342,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,81,82,82,,0,majority,majority,True,failure,1.69,True,False,
42,1789628687.1624568,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,83,84,84,,0,majority,majority,True,failure,1.72,True,False,
43,1789628687.1639192,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,85,86,86,,0,majority,majority,True,failure,1.46,True,False,
44,1789628687.165964,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,87,88,88,,0,majority,majority,True,failure,2.04,True,False,
45,1789628687.1674643,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,89,90,90,,0,majority,majority,True,failure,1.5,True,False,
46,1789628687.1691737,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,91,92,92,,0,majority,majority,True,failure,1.71,True,False,
47,1789628687.1712954,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,93,94,94,,0,majority,majority,True,failure,2.12,True,False,
48,1789628687.172859,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,95,96,95,,0,majority,majority,True,failure,1.56,True,False,
49,1789628687.1746535,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,97,98,98,,0,majority,majority,True,failure,1.79,True,False,
50,1789628687.1764712,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,99,100,100,,0,majority,majority,True,failure,1.82,True,False,
51,1789628687.178208,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,101,102,102,,0,majority,majority,True,failure,1.73,True,False,
52,1789628687.1799114,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,103,104,104,,0,majority,majority,True,failure,1.7,True,False,
53,1789628687.1821089,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,105,106,106,,0,majority,majority,True,failure,2.19,True,False,
54,1789628687.1839983,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,107,108,108,,0,majority,majority,True,failure,1.89,True,False,
55,1789628687.1857483,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,109,110,110,,0,majority,majority,True,failure,1.75,True,False,
56,1789628687.1875541,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,111,112,112,,0,majority,majority,True,failure,1.8,True,False,
57,1789628687.1896722,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,113,114,114,,0,majority,majority,True,failure,2.12,True,False,
58,1789628687.1914232,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,115,116,116,,0,majority,majority,True,failure,1.75,True,False,
59,1789628687.1929674,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,117,118,118,,0,majority,majority,True,failure,1.54,True,False,
60,1789628687.1951582,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,119,120,120,,0,majority,majority,True,failure,2.19,True,False,
61,1789628687.1966965,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,121,122,122,,0,majority,majority,True,failure,1.54,True,False,
62,1789628687.1986926,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,123,124,124,,0,majority,majority,True,failure,1.99,True,False,
63,1789628687.2006478,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,125,126,126,,0,majority,majority,True,failure,1.95,True,False,
64,1789628687.2027278,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,127,128,128,,0,majority,majority,True,failure,2.08,True,False,
65,1789628687.2047703,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,129,130,130,,0,majority,majority,True,failure,2.04,True,False,
66,1789628687.2069728,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,131,132,132,,0,majority,majority,True,failure,2.2,True,False,
67,1789628687.208978,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,133,134,134,,0,majority,majority,True,failure,2.0,True,False,
68,1789628687.2111237,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,135,136,136,,0,majority,majority,True,failure,2.14,True,False,
69,1789628687.2131505,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,137,138,138,,0,majority,majority,True,failure,2.02,True,False,
70,1789628687.2152817,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,139,140,140,,0,majority,majority,True,failure,2.13,True,False,
71,1789628687.2170699,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,141,142,142,,0,majority,majority,True,failure,1.78,True,False,
72,1789628687.2191842,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,143,144,144,,0,majority,majority,True,failure,2.11,True,False,
73,1789628687.2214355,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,145,146,146,,0,majority,majority,True,failure,2.25,True,False,
74,1789628687.2235422,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,147,148,148,,0,majority,majority,True,failure,2.1,True,False,
75,1789628687.2255375,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,149,150,150,,0,majority,majority,True,failure,1.99,True,False,
76,1789628687.2278886,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,151,152,152,,0,majority,majority,True,failure,2.35,True,False,
77,1789628687.2298937,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,153,154,154,,0,majority,majority,True,failure,2.0,True,False,
78,1789628687.2320316,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,155,156,156,,0,majority,majority,True,failure,2.13,True,False,
79,1789628687.2341678,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,157,158,158,,0,majority,majority,True,failure,2.13,True,False,
80,1789628687.2362688,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,159,160,160,,0,majority,majority,True,failure,2.1,True,False,
81,1789628687.238298,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,161,162,162,,0,majority,majority,True,failure,2.03,True,False,
82,1789628687.2404897,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,163,164,164,,0,majority,majority,True,failure,2.19,True,False,
83,1789628687.2423854,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,165,166,166,,0,majority,majority,True,failure,1.89,True,False,
84,1789628687.2443209,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,167,168,168,,0,majority,majority,True,failure,1.93,True,False,
85,1789628687.2462416,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,169,170,170,,0,majority,majority,True,failure,1.92,True,False,
86,1789628687.248074,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,171,172,172,,0,majority,majority,True,failure,1.83,True,False,
87,1789628687.2497177,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,173,174,174,,0,majority,majority,True,failure,1.64,True,False,
88,1789628687.2514353,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,175,176,176,,0,majority,majority,True,failure,1.71,True,False,
89,1789628687.2533195,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,177,178,178,,0,majority,majority,True,failure,1.88,True,False,
90,1789628687.2552378,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,179,180,180,,0,majority,majority,True,failure,1.92,True,False,
91,1789628687.2570214,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,181,182,182,,0,majority,majority,True,failure,1.78,True,False,
92,1789628687.2590857,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,183,184,184,,0,majority,majority,True,failure,2.06,True,False,
93,1789628687.2606905,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,185,186,186,,0,majority,majority,True,failure,1.6,True,False,
94,1789628687.2627041,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,187,188,188,,0,majority,majority,True,failure,2.01,True,False,
95,1789628687.2644305,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,189,190,190,,0,majority,majority,True,failure,1.72,True,False,
96,1789628687.266435,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,191,192,192,,0,majority,majority,True,failure,2.0,True,False,
97,1789628687.26834,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,193,194,194,,0,majority,majority,True,failure,1.9,True,False,
98,1789628687.2707562,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,195,196,196,,0,majority,majority,True,failure,2.41,True,False,
99,1789628687.2726572,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,197,198,198,,0,majority,majority,True,failure,1.9,True,False,
100,1789628687.274424,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,199,200,200,,0,majority,majority,True,failure,1.76,True,False,
101,1789628687.2765222,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,201,202,202,,0,majority,majority,True,failure,2.08,True,False,
102,1789628687.278464,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,203,204,204,,0,majority,majority,True,failure,1.94,True,False,
103,1789628687.2801943,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,205,206,206,,0,majority,majority,True,failure,1.73,True,False,
104,1789628687.2820456,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,207,208,208,,0,majority,majority,True,failure,1.85,True,False,
105,1789628687.2839975,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,209,210,210,,0,majority,majority,True,failure,1.95,True,False,
106,1789628687.2861602,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,211,212,212,,0,majority,majority,True,failure,2.16,True,False,
107,1789628687.2881145,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,213,214,214,,0,majority,majority,True,failure,1.95,True,False,
108,1789628687.2901793,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,215,216,216,,0,majority,majority,True,failure,2.06,True,False,
109,1789628687.2920153,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,217,218,218,,0,majority,majority,True,failure,1.83,True,False,
110,1789628687.2945309,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,219,220,220,,0,majority,majority,True,failure,2.51,True,False,
111,1789628687.296959,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,221,222,222,,0,majority,majority,True,failure,2.42,True,False,
112,1789628687.2992184,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,223,224,224,,0,majority,majority,True,failure,2.26,True,False,
113,1789628687.3013017,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,225,226,226,,0,majority,majority,True,failure,2.08,True,False,
114,1789628687.3035684,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,227,228,228,,0,majority,majority,True,failure,2.26,True,False,
115,1789628687.3055415,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,229,230,230,,0,majority,majority,True,failure,1.97,True,False,
116,1789628687.3075824,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,231,232,232,,0,majority,majority,True,failure,2.04,True,False,
117,1789628687.3098829,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,233,234,234,,0,majority,majority,True,failure,2.3,True,False,
118,1789628687.3118284,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,235,236,236,,0,majority,majority,True,failure,1.94,True,False,
119,1789628687.3138733,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,237,238,238,,0,majority,majority,True,failure,2.04,True,False,
120,1789628687.316114,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,239,240,240,,0,majority,majority,True,failure,2.24,True,False,
121,1789628687.318354,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,241,242,242,,0,majority,majority,True,failure,2.24,True,False,
122,1789628687.3204234,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,243,244,244,,0,majority,majority,True,failure,2.07,True,False,
123,1789628687.3228137,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,245,246,246,,0,majority,majority,True,failure,2.39,True,False,
124,1789628687.3253155,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,247,248,248,,0,majority,majority,True,failure,2.5,True,False,
125,1789628687.3274455,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,249,250,250,,0,majority,majority,True,failure,2.13,True,False,
126,1789628687.329604,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,251,252,252,,0,majority,majority,True,failure,2.16,True,False,
127,1789628687.331617,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,253,254,254,,0,majority,majority,True,failure,2.01,True,False,
128,1789628687.333758,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,255,256,256,,0,majority,majority,True,failure,2.14,True,False,
129,1789628687.3358498,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,257,258,258,,0,majority,majority,True,failure,2.09,True,False,
130,1789628687.3379078,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,259,260,260,,0,majority,majority,True,failure,2.05,True,False,
131,1789628687.3400416,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,261,262,262,,0,majority,majority,True,failure,2.13,True,False,
132,1789628687.3419182,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,263,264,264,,0,majority,majority,True,failure,1.87,True,False,
133,1789628687.3438256,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,265,266,266,,0,majority,majority,True,failure,1.9,True,False,
134,1789628687.3455358,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,267,268,268,,0,majority,majority,True,failure,1.71,True,False,
135,1789628687.3474364,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,269,270,270,,0,majority,majority,True,failure,1.9,True,False,
136,1789628687.349241,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,271,272,272,,0,majority,majority,True,failure,1.8,True,False,
137,1789628687.351216,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,273,274,274,,0,majority,majority,True,failure,1.97,True,False,
138,1789628687.3534784,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,275,276,276,,0,majority,majority,True,failure,2.26,True,False,
139,1789628687.355747,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,277,278,278,,0,majority,majority,True,failure,2.27,True,False,
140,1789628687.3581266,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,279,280,280,,0,majority,majority,True,failure,2.38,True,False,
141,1789628687.3601456,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,281,282,282,,0,majority,majority,True,failure,2.02,True,False,
142,1789628687.362287,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,283,284,284,,0,majority,majority,True,failure,2.14,True,False,
143,1789628687.364563,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,285,286,286,,0,majority,majority,True,failure,2.27,True,False,
144,1789628687.3668807,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,287,288,288,,0,majority,majority,True,failure,2.31,True,False,
145,1789628687.369105,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,289,290,290,,0,majority,majority,True,failure,2.22,True,False,
146,1789628687.3714938,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,291,292,292,,0,majority,majority,True,failure,2.39,True,False,
147,1789628687.3733296,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,293,294,294,,0,majority,majority,True,failure,1.83,True,False,
148,1789628687.3754525,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,295,296,296,,0,majority,majority,True,failure,2.12,True,False,
149,1789628687.3777547,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,297,298,298,,0,majority,majority,True,failure,2.3,True,False,
150,1789628687.3801835,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,299,300,300,,0,majority,majority,True,failure,2.43,True,False,
151,1789628687.3822985,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,301,302,302,,0,majority,majority,True,failure,2.11,True,False,
152,1789628687.3846364,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,303,304,304,,0,majority,majority,True,failure,2.34,True,False,
153,1789628687.3868394,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,305,306,306,,0,majority,majority,True,failure,2.2,True,False,
154,1789628687.3891513,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,307,308,308,,0,majority,majority,True,failure,2.31,True,False,
155,1789628687.3915403,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,309,310,310,,0,majority,majority,True,failure,2.39,True,False,
156,1789628687.3942237,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,311,312,312,,0,majority,majority,True,failure,2.68,True,False,
157,1789628687.3962944,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,313,314,314,,0,majority,majority,True,failure,2.07,True,False,
158,1789628687.3984718,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,315,316,316,,0,majority,majority,True,failure,2.17,True,False,
159,1789628687.400801,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,317,318,318,,0,majority,majority,True,failure,2.33,True,False,
160,1789628687.4029279,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,319,320,320,,0,majority,majority,True,failure,2.12,True,False,
161,1789628687.4049168,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,321,322,322,,0,majority,majority,True,failure,1.99,True,False,
162,1789628687.407354,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,323,324,324,,0,majority,majority,True,failure,2.43,True,False,
163,1789628687.4093423,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,325,326,326,,0,majority,majority,True,failure,1.98,True,False,
164,1789628687.4114537,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,327,328,328,,0,majority,majority,True,failure,2.11,True,False,
165,1789628687.4133797,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,329,330,330,,0,majority,majority,True,failure,1.92,True,False,
166,1789628687.4153574,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,331,332,332,,0,majority,majority,True,failure,1.97,True,False,
167,1789628687.4172957,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,333,334,334,,0,majority,majority,True,failure,1.94,True,False,
168,1789628687.419479,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,335,336,336,,0,majority,majority,True,failure,2.18,True,False,
169,1789628687.4214444,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,337,338,338,,0,majority,majority,True,failure,1.96,True,False,
170,1789628687.4235504,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,339,340,340,,0,majority,majority,True,failure,2.1,True,False,
171,1789628687.4257693,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,341,342,342,,0,majority,majority,True,failure,2.22,True,False,
172,1789628687.4283295,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,343,344,344,,0,majority,majority,True,failure,2.56,True,False,
173,1789628687.4304173,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,345,346,346,,0,majority,majority,True,failure,2.08,True,False,
