iteration,timestamp,client_id,operation,phase,scenario,failed_node,requested_version,observed_version,read_concern,write_concern,latency_ms,success,violation,error
31,1789625820.2998943,client_A,WRITE_THEN_READ,normal,failure,,31,29,local,1,0.39,True,True,
32,1789625820.3003209,client_A,WRITE_THEN_READ,normal,failure,,32,29,local,1,0.43,True,True,
33,1789625820.3007843,client_A,WRITE_THEN_READ,normal,failure,,33,29,local,1,0.46,True,True,
34,1789625820.3011508,client_A,WRITE_THEN_READ,normal,failure,,34,32,local,1,0.37,True,True,
35,1789625820.3015385,client_A,WRITE_THEN_READ,normal,failure,,35,32,local,1,0.39,True,True,
36,1789625820.302028,client_A,WRITE_THEN_READ,normal,failure,,36,35,local,1,0.49,True,True,
37,1789625820.3026698,client_A,WRITE_THEN_READ,normal,failure,,37,37,local,1,0.64,True,False,
38,1789625820.3030841,client_A,WRITE_THEN_READ,normal,failure,,38,37,local,1,0.41,True,True,
39,1789625820.3035302,client_A,WRITE_THEN_READ,normal,failure,,39,38,local,1,0.44,True,True,
40,1789625820.3039722,client_A,WRITE_THEN_READ,normal,failure,,40,39,local,1,0.44,True,True,
41,1789625820.3044002,client_A,WRITE_THEN_READ,normal,failure,,41,39,local,1,0.43,True,True,
42,1789625820.304886,client_A,WRITE_THEN_READ,normal,failure,,42,41,local,1,0.48,True,True,
43,1789625820.3052897,client_A,WRITE_THEN_READ,normal,failure,,43,40,local,1,0.4,True,True,
44,1789625820.3056128,client_A,WRITE_THEN_READ,normal,failure,,44,42,local,1,0.32,True,True,
45,1789625820.3060234,client_A,WRITE_THEN_READ,normal,failure,,45,44,local,1,0.41,True,True,
46,1789625820.3065915,client_A,WRITE_THEN_READ,normal,failure,,46,45,local,1,0.57,True,True,
47,1789625820.3070104,client_A,WRITE_THEN_READ,normal,failure,,47,46,local,1,0.42,True,True,
48,1789625820.3075433,client_A,WRITE_THEN_READ,normal,failure,,48,47,local,1,0.53,True,True,
49,1789625820.3079348,client_A,WRITE_THEN_READ,normal,failure,,49,47,local,1,0.39,True,True,
50,1789625820.3083348,client_A,WRITE_THEN_READ,normal,failure,,50,49,local,1,0.4,True,True,
51,1789625820.3087971,client_A,WRITE_THEN_READ,normal,failure,,51,50,local,1,0.46,True,True,
52,1789625820.309275,client_A,WRITE_THEN_READ,normal,failure,,52,51,local,1,0.48,True,True,
53,1789625820.3096354,client_A,WRITE_THEN_READ,normal,failure,,53,51,local,1,0.36,True,True,
54,1789625820.3100057,client_A,WRITE_THEN_READ,normal,failure,,54,51,local,1,0.37,True,True,
55,1789625820.3105435,client_A,WRITE_THEN_READ,normal,failure,,55,51,local,1,0.54,True,True,
56,1789625820.3109245,client_A,WRITE_THEN_READ,normal,failure,,56,53,local,1,0.38,True,True,
57,1789625820.311417,client_A,WRITE_THEN_READ,normal,failure,,57,55,local,1,0.49,True,True,
58,1789625820.3118389,client_A,WRITE_THEN_READ,normal,failure,,58,57,local,1,0.42,True,True,
59,1789625820.3122978,client_A,WRITE_THEN_READ,normal,failure,,59,58,local,1,0.46,True,True,
60,1789625820.3127778,client_A,WRITE_THEN_READ,normal,failure,,60,59,local,1,0.48,True,True,
61,1789625820.3132758,client_A,WRITE_THEN_READ,normal,failure,,61,58,local,1,0.5,True,True,
62,1789625820.3138187,client_A,WRITE_THEN_READ,normal,failure,,62,61,local,1,0.54,True,True,
63,1789625820.3142436,client_A,WRITE_THEN_READ,normal,failure,,63,62,local,1,0.42,True,True,
64,1789625820.3146994,client_A,WRITE_THEN_READ,normal,failure,,64,61,local,1,0.45,True,True,
65,1789625820.3151164,client_A,WRITE_THEN_READ,normal,failure,,65,62,local,1,0.41,True,True,
66,1789625820.3154902,client_A,WRITE_THEN_READ,normal,failure,,66,62,local,1,0.37,True,True,
67,1789625820.3158326,client_A,WRITE_THEN_READ,normal,failure,,67,66,local,1,0.34,True,True,
68,1789625820.316254,client_A,WRITE_THEN_READ,normal,failure,,68,67,local,1,0.42,True,True,
69,1789625820.3167555,client_A,WRITE_THEN_READ,normal,failure,,69,68,local,1,0.5,True,True,
70,1789625820.317135,client_A,WRITE_THEN_READ,normal,failure,,70,69,local,1,0.38,True,True,
71,1789625820.3174865,client_A,WRITE_THEN_READ,normal,failure,,71,68,local,1,0.35,True,True,
72,1789625820.3179958,client_A,WRITE_THEN_READ,normal,failure,,72,70,local,1,0.51,True,True,
73,1789625820.3186119,client_A,WRITE_THEN_READ,normal,failure,,73,72,local,1,0.61,True,True,
74,1789625820.3191,client_A,WRITE_THEN_READ,normal,failure,,74,73,local,1,0.49,True,True,
75,1789625820.3194957,client_A,WRITE_THEN_READ,normal,failure,,75,74,local,1,0.39,True,True,
76,1789625820.3199153,client_A,WRITE_THEN_READ,normal,failure,,76,75,local,1,0.42,True,True,
77,1789625820.3203986,client_A,WRITE_THEN_READ,normal,failure,,77,76,local,1,0.48,True,True,
78,1789625820.3208935,client_A,WRITE_THEN_READ,normal,failure,,78,77,local,1,0.49,True,True,
79,1789625820.3212352,client_A,WRITE_THEN_READ,normal,failure,,79,78,local,1,0.34,True,True,
80,1789625820.3217633,client_A,WRITE_THEN_READ,normal,failure,,80,79,local,1,0.53,True,True,
81,1789625820.322223,client_A,WRITE_THEN_READ,normal,failure,,81,80,local,1,0.46,True,True,
82,1789625820.322614,client_A,WRITE_THEN_READ,normal,failure,,82,81,local,1,0.39,True,True,
83,1789625820.323111,client_A,WRITE_THEN_READ,normal,failure,,83,82,local,1,0.49,True,True,
84,1789625820.3234432,client_A,WRITE_THEN_READ,normal,failure,,84,83,local,1,0.33,True,True,
85,1789625820.3237782,client_A,WRITE_THEN_READ,normal,failure,,85,84,local,1,0.33,True,True,
86,1789625820.3242774,client_A,WRITE_THEN_READ,normal,failure,,86,85,local,1,0.5,True,True,
87,1789625820.3246078,client_A,WRITE_THEN_READ,normal,failure,,87,86,local,1,0.33,True,True,
88,1789625820.324931,client_A,WRITE_THEN_READ,normal,failure,,88,86,local,1,0.32,True,True,
89,1789625820.32524,client_A,WRITE_THEN_READ,normal,failure,,89,86,local,1,0.31,True,True,
90,1789625820.325525,client_A,WRITE_THEN_READ,normal,failure,,90,89,local,1,0.28,True,True,
91,1789625820.325988,client_A,WRITE_THEN_READ,normal,failure,,91,86,local,1,0.46,True,True,
92,1789625820.3264494,client_A,WRITE_THEN_READ,normal,failure,,92,91,local,1,0.46,True,True,
93,1789625820.3268569,client_A,WRITE_THEN_READ,normal,failure,,93,89,local,1,0.41,True,True,
94,1789625820.327277,client_A,WRITE_THEN_READ,normal,failure,,94,94,local,1,0.42,True,False,
95,1789625820.3277037,client_A,WRITE_THEN_READ,normal,failure,,95,94,local,1,0.43,True,True,
96,1789625820.3281326,client_A,WRITE_THEN_READ,normal,failure,,96,95,local,1,0.43,True,True,
97,1789625820.328491,client_A,WRITE_THEN_READ,normal,failure,,97,96,local,1,0.36,True,True,
98,1789625820.3290162,client_A,WRITE_THEN_READ,normal,failure,,98,97,local,1,0.52,True,True,
99,1789625820.329422,client_A,WRITE_THEN_READ,normal,failure,,99,98,local,1,0.4,True,True,
100,1789625820.329835,client_A,WRITE_THEN_READ,normal,failure,,100,98,local,1,0.41,True,True,
101,1789625820.3304756,client_A,WRITE_THEN_READ,normal,failure,,101,99,local,1,0.6,True,True,
102,1789625820.3309436,client_A,WRITE_THEN_READ,normal,failure,,102,102,local,1,0.47,True,False,
103,1789625820.3314142,client_A,WRITE_THEN_READ,normal,failure,,103,101,local,1,0.47,True,True,
104,1789625820.3317997,client_A,WRITE_THEN_READ,normal,failure,,104,103,local,1,0.38,True,True,
105,1789625820.3322606,client_A,WRITE_THEN_READ,normal,failure,,105,103,local,1,0.46,True,True,
106,1789625820.3325796,client_A,WRITE_THEN_READ,normal,failure,,106,105,local,1,0.32,True,True,
107,1789625820.3329546,client_A,WRITE_THEN_READ,normal,failure,,107,106,local,1,0.37,True,True,
108,1789625820.333384,client_A,WRITE_THEN_READ,normal,failure,,108,107,local,1,0.43,True,True,
109,1789625820.3338833,client_A,WRITE_THEN_READ,normal,failure,,109,108,local,1,0.5,True,True,
110,1789625820.334385,client_A,WRITE_THEN_READ,normal,failure,,110,108,local,1,0.5,True,True,
111,1789625820.3346984,client_A,WRITE_THEN_READ,normal,failure,,111,110,local,1,0.31,True,True,
112,1789625820.335002,client_A,WRITE_THEN_READ,normal,failure,,112,111,local,1,0.3,True,True,
113,1789625820.3353875,client_A,WRITE_THEN_READ,normal,failure,,113,112,local,1,0.38,True,True,
114,1789625820.3357704,client_A,WRITE_THEN_READ,normal,failure,,114,111,local,1,0.38,True,True,
115,1789625820.3361962,client_A,WRITE_THEN_READ,normal,failure,,115,115,local,1,0.42,True,False,
116,1789625820.3367314,client_A,WRITE_THEN_READ,normal,failure,,116,114,local,1,0.53,True,True,
117,1789625820.337165,client_A,WRITE_THEN_READ,normal,failure,,117,116,local,1,0.43,True,True,
118,1789625820.337575,client_A,WRITE_THEN_READ,normal,failure,,118,117,local,1,0.41,True,True,
119,1789625820.337915,client_A,WRITE_THEN_READ,normal,failure,,119,118,local,1,0.34,True,True,
120,1789625820.3384202,client_A,WRITE_THEN_READ,normal,failure,,120,117,local,1,0.5,True,True,
121,1789625820.3388815,client_A,WRITE_THEN_READ,normal,failure,,121,117,local,1,0.46,True,True,
122,1789625820.3393168,client_A,WRITE_THEN_READ,normal,failure,,122,121,local,1,0.43,True,True,
123,1789625820.339631,client_A,WRITE_THEN_READ,normal,failure,,123,122,local,1,0.31,True,True,
124,1789625820.3399253,client_A,WRITE_THEN_READ,normal,failure,,124,123,local,1,0.29,True,True,
125,1789625820.3404143,client_A,WRITE_THEN_READ,normal,failure,,125,118,local,1,0.49,True,True,
126,1789625820.3410094,client_A,WRITE_THEN_READ,normal,failure,,126,119,local,1,0.59,True,True,
127,1789625820.3413734,client_A,WRITE_THEN_READ,normal,failure,,127,126,local,1,0.36,True,True,
128,1789625820.3417757,client_A,WRITE_THEN_READ,normal,failure,,128,127,local,1,0.4,True,True,
129,1789625820.3422575,client_A,WRITE_THEN_READ,normal,failure,,129,125,local,1,0.48,True,True,
130,1789625820.3427348,client_A,WRITE_THEN_READ,normal,failure,,130,129,local,1,0.47,True,True,
131,1789625820.3432353,client_A,WRITE_THEN_READ,normal,failure,,131,126,local,1,0.5,True,True,
132,1789625820.343696,client_A,WRITE_THEN_READ,normal,failure,,132,127,local,1,0.46,True,True,
133,1789625820.3441083,client_A,WRITE_THEN_READ,normal,failure,,133,128,local,1,0.41,True,True,
134,1789625820.344554,client_A,WRITE_THEN_READ,normal,failure,,134,133,local,1,0.44,True,True,
135,1789625820.3449328,client_A,WRITE_THEN_READ,normal,failure,,135,134,local,1,0.38,True,True,
136,1789625820.3454487,client_A,WRITE_THEN_READ,normal,failure,,136,132,local,1,0.51,True,True,
137,1789625820.3459346,client_A,WRITE_THEN_READ,normal,failure,,137,133,local,1,0.48,True,True,
138,1789625820.3464375,client_A,WRITE_THEN_READ,normal,failure,,138,138,local,1,0.5,True,False,
139,1789625820.3467903,client_A,WRITE_THEN_READ,normal,failure,,139,138,local,1,0.35,True,True,
140,1789625820.3472126,client_A,WRITE_THEN_READ,normal,failure,,140,136,local,1,0.42,True,True,
141,1789625820.347584,client_A,WRITE_THEN_READ,normal,failure,,141,140,local,1,0.37,True,True,
142,1789625820.3479526,client_A,WRITE_THEN_READ,normal,failure,,142,141,local,1,0.37,True,True,
143,1789625820.3484414,client_A,WRITE_THEN_READ,normal,failure,,143,136,local,1,0.49,True,True,
144,1789625820.3489392,client_A,WRITE_THEN_READ,normal,failure,,144,137,local,1,0.5,True,True,
145,1789625820.3494277,client_A,WRITE_THEN_READ,normal,failure,,145,138,local,1,0.49,True,True,
146,1789625820.3499193,client_A,WRITE_THEN_READ,normal,failure,,146,139,local,1,0.49,True,True,
147,1789625820.3503985,client_A,WRITE_THEN_READ,normal,failure,,147,146,local,1,0.48,True,True,
148,1789625820.350722,client_A,WRITE_THEN_READ,normal,failure,,148,147,local,1,0.32,True,True,
149,1789625820.3511395,client_A,WRITE_THEN_READ,normal,failure,,149,139,local,1,0.42,True,True,
150,1789625820.3514767,client_A,WRITE_THEN_READ,normal,failure,,150,149,local,1,0.34,True,True,
151,1789625820.3518417,client_A,WRITE_THEN_READ,normal,failure,,151,150,local,1,0.36,True,True,
152,1789625820.3523726,client_A,WRITE_THEN_READ,normal,failure,,152,151,local,1,0.53,True,True,
153,1789625820.3526893,client_A,WRITE_THEN_READ,normal,failure,,153,152,local,1,0.31,True,True,
154,1789625820.3531177,client_A,WRITE_THEN_READ,normal,failure,,154,154,local,1,0.43,True,False,
155,1789625820.353441,client_A,WRITE_THEN_READ,normal,failure,,155,154,local,1,0.32,True,True,
156,1789625820.3538325,client_A,WRITE_THEN_READ,normal,failure,,156,155,local,1,0.39,True,True,
157,1789625820.3542776,client_A,WRITE_THEN_READ,normal,failure,,157,157,local,1,0.44,True,False,
158,1789625820.3546903,client_A,WRITE_THEN_READ,normal,failure,,158,151,local,1,0.41,True,True,
159,1789625820.3550282,client_A,WRITE_THEN_READ,normal,failure,,159,158,local,1,0.34,True,True,
160,1789625820.35553,client_A,WRITE_THEN_READ,normal,failure,,160,159,local,1,0.5,True,True,
161,1789625820.3559597,client_A,WRITE_THEN_READ,normal,failure,,161,160,local,1,0.43,True,True,
162,1789625820.3565378,client_A,WRITE_THEN_READ,normal,failure,,162,161,local,1,0.58,True,True,
163,1789625820.356917,client_A,WRITE_THEN_READ,normal,failure,,163,162,local,1,0.38,True,True,
164,1789625820.3574092,client_A,WRITE_THEN_READ,normal,failure,,164,163,local,1,0.49,True,True,
165,1789625820.3579948,client_A,WRITE_THEN_READ,normal,failure,,165,164,local,1,0.58,True,True,
166,1789625820.3585951,client_A,WRITE_THEN_READ,normal,failure,,166,165,local,1,0.6,True,True,
167,1789625820.359038,client_A,WRITE_THEN_READ,normal,failure,,167,166,local,1,0.44,True,True,
168,1789625820.3595157,client_A,WRITE_THEN_READ,normal,failure,,168,167,local,1,0.48,True,True,
169,1789625820.3600125,client_A,WRITE_THEN_READ,normal,failure,,169,168,local,1,0.5,True,True,
170,1789625820.3604398,client_A,WRITE_THEN_READ,normal,failure,,170,169,local,1,0.43,True,True,
171,1789625820.3609185,client_A,WRITE_THEN_READ,normal,failure,,171,170,local,1,0.48,True,True,
172,1789625820.361432,client_A,WRITE_THEN_READ,normal,failure,,172,171,local,1,0.51,True,True,
173,1789625820.3617651,client_A,WRITE_THEN_READ,normal,failure,,173,172,local,1,0.33,True,True,
174,1789625820.362227,client_A,WRITE_THEN_READ,normal,failure,,174,173,local,1,0.46,True,True,
175,1789625820.362762,client_A,WRITE_THEN_READ,normal,failure,,175,172,local,1,0.53,True,True,
176,1789625820.3632338,client_A,WRITE_THEN_READ,normal,failure,,176,175,local,1,0.47,True,True,
177,1789625820.3635745,client_A,WRITE_THEN_READ,normal,failure,,177,176,local,1,0.34,True,True,
178,1789625820.3640287,client_A,WRITE_THEN_READ,normal,failure,,178,177,local,1,0.45,True,True,
179,1789625820.3645198,client_A,WRITE_THEN_READ,normal,failure,,179,177,local,1,0.49,True,True,
180,1789625820.3648877,client_A,WRITE_THEN_READ,normal,failure,,180,179,local,1,0.37,True,True,
181,1789625820.365334,client_A,WRITE_THEN_READ,normal,failure,,181,180,local,1,0.44,True,True,
182,1789625820.3658442,client_A,WRITE_THEN_READ,normal,failure,,182,181,local,1,0.51,True,True,
183,1789625820.366361,client_A,WRITE_THEN_READ,normal,failure,,183,181,local,1,0.51,True,True,
184,1789625820.3668146,client_A,WRITE_THEN_READ,normal,failure,,184,182,local,1,0.45,True,True,
185,1789625820.3673942,client_A,WRITE_THEN_READ,normal,failure,,185,184,local,1,0.58,True,True,
186,1789625820.3677793,client_A,WRITE_THEN_READ,normal,failure,,186,186,local,1,0.38,True,False,
187,1789625820.3681822,client_A,WRITE_THEN_READ,normal,failure,,187,186,local,1,0.4,True,True,
188,1789625820.3685355,client_A,WRITE_THEN_READ,normal,failure,,188,187,local,1,0.35,True,True,
189,1789625820.3690195,client_A,WRITE_THEN_READ,normal,failure,,189,188,local,1,0.48,True,True,
190,1789625820.3695602,client_A,WRITE_THEN_READ,normal,failure,,190,189,local,1,0.54,True,True,
191,1789625820.3699918,client_A,WRITE_THEN_READ,normal,failure,,191,190,local,1,0.43,True,True,
192,1789625820.3705237,client_A,WRITE_THEN_READ,normal,failure,,192,191,local,1,0.53,True,True,
193,1789625820.3710325,client_A,WRITE_THEN_READ,normal,failure,,193,192,local,1,0.51,True,True,
194,1789625820.3714275,client_A,WRITE_THEN_READ,normal,failure,,194,193,local,1,0.39,True,True,
195,1789625820.3718414,client_A,WRITE_THEN_READ,normal,failure,,195,194,local,1,0.41,True,True,
196,1789625820.3724499,client_A,WRITE_THEN_READ,normal,failure,,196,195,local,1,0.61,True,True,
197,1789625820.3729038,client_A,WRITE_THEN_READ,normal,failure,,197,197,local,1,0.45,True,False,
198,1789625820.3734334,client_A,WRITE_THEN_READ,normal,failure,,198,197,local,1,0.53,True,True,
199,1789625820.3739634,client_A,WRITE_THEN_READ,normal,failure,,199,196,local,1,0.53,True,True,
200,1789625830.6463516,client_A,WRITE_THEN_READ,failure,failure,mongo1,200,199,local,1,1.36,True,True,
201,1789625830.6470406,client_A,WRITE_THEN_READ,failure,failure,mongo1,201,199,local,1,0.68,True,True,
202,1789625830.6475544,client_A,WRITE_THEN_READ,failure,failure,mongo1,202,199,local,1,0.51,True,True,
203,1789625830.6480591,client_A,WRITE_THEN_READ,failure,failure,mongo1,203,199,local,1,0.5,True,True,
204,1789625830.6486032,client_A,WRITE_THEN_READ,failure,failure,mongo1,204,199,local,1,0.54,True,True,
205,1789625830.6491618,client_A,WRITE_THEN_READ,failure,failure,mongo1,205,199,local,1,0.56,True,True,
206,1789625830.6496317,client_A,WRITE_THEN_READ,failure,failure,mongo1,206,199,local,1,0.47,True,True,
207,1789625830.6501448,client_A,WRITE_THEN_READ,failure,failure,mongo1,207,199,local,1,0.51,True,True,
208,1789625830.6506631,client_A,WRITE_THEN_READ,failure,failure,mongo1,208,199,local,1,0.52,True,True,
209,1789625830.6511364,client_A,WRITE_THEN_READ,failure,failure,mongo1,209,199,local,1,0.47,True,True,
210,1789625830.6516337,client_A,WRITE_THEN_READ,failure,failure,mongo1,210,199,local,1,0.5,True,True,
211,1789625830.652128,client_A,WRITE_THEN_READ,failure,failure,mongo1,211,199,local,1,0.49,True,True,
212,1789625830.6525934,client_A,WRITE_THEN_READ,failure,failure,mongo1,212,199,local,1,0.46,True,True,
213,1789625830.653069,client_A,WRITE_THEN_READ,failure,failure,mongo1,213,199,local,1,0.47,True,True,
214,1789625830.65346,client_A,WRITE_THEN_READ,failure,failure,mongo1,214,199,local,1,0.39,True,True,
215,1789625830.6539502,client_A,WRITE_THEN_READ,failure,failure,mongo1,215,199,local,1,0.49,True,True,
216,1789625830.654532,client_A,WRITE_THEN_READ,failure,failure,mongo1,216,199,local,1,0.58,True,True,
217,1789625830.655038,client_A,WRITE_THEN_READ,failure,failure,mongo1,217,199,local,1,0.5,True,True,
218,1789625830.6554966,client_A,WRITE_THEN_READ,failure,failure,mongo1,218,199,local,1,0.46,True,True,
219,1789625830.6560373,client_A,WRITE_THEN_READ,failure,failure,mongo1,219,199,local,1,0.54,True,True,
220,1789625830.6567278,client_A,WRITE_THEN_READ,failure,failure,mongo1,220,199,local,1,0.69,True,True,
221,1789625830.6572266,client_A,WRITE_THEN_READ,failure,failure,mongo1,221,199,local,1,0.5,True,True,
222,1789625830.6576934,client_A,WRITE_THEN_READ,failure,failure,mongo1,222,199,local,1,0.47,True,True,
223,1789625830.658187,client_A,WRITE_THEN_READ,failure,failure,mongo1,223,199,local,1,0.49,True,True,
224,1789625830.6586483,client_A,WRITE_THEN_READ,failure,failure,mongo1,224,199,local,1,0.46,True,True,
225,1789625830.6591518,client_A,WRITE_THEN_READ,failure,failure,mongo1,225,199,local,1,0.5,True,True,
226,1789625830.6595986,client_A,WRITE_THEN_READ,failure,failure,mongo1,226,199,local,1,0.45,True,True,
227,1789625830.660077,client_A,WRITE_THEN_READ,failure,failure,mongo1,227,199,local,1,0.48,True,True,
228,1789625830.6605427,client_A,WRITE_THEN_READ,failure,failure,mongo1,228,199,local,1,0.46,True,True,
229,1789625830.6610775,client_A,WRITE_THEN_READ,failure,failure,mongo1,229,199,local,1,0.53,True,True,
230,1789625830.6616054,client_A,WRITE_THEN_READ,failure,failure,mongo1,230,199,local,1,0.53,True,True,
231,1789625830.6621082,client_A,WRITE_THEN_READ,failure,failure,mongo1,231,199,local,1,0.5,True,True,
232,1789625830.6626244,client_A,WRITE_THEN_READ,failure,failure,mongo1,232,199,local,1,0.51,True,True,
233,1789625830.6630921,client_A,WRITE_THEN_READ,failure,failure,mongo1,233,199,local,1,0.47,True,True,
234,1789625830.6635396,client_A,WRITE_THEN_READ,failure,failure,mongo1,234,199,local,1,0.44,True,True,
235,1789625830.6639943,client_A,WRITE_THEN_READ,failure,failure,mongo1,235,199,local,1,0.45,True,True,
236,1789625830.6645117,client_A,WRITE_THEN_READ,failure,failure,mongo1,236,199,local,1,0.52,True,True,
237,1789625830.6649485,client_A,WRITE_THEN_READ,failure,failure,mongo1,237,199,local,1,0.44,True,True,
238,1789625830.6654615,client_A,WRITE_THEN_READ,failure,failure,mongo1,238,199,local,1,0.51,True,True,
239,1789625830.6659424,client_A,WRITE_THEN_READ,failure,failure,mongo1,239,199,local,1,0.48,True,True,
240,1789625830.666573,client_A,WRITE_THEN_READ,failure,failure,mongo1,240,199,local,1,0.63,True,True,
241,1789625830.6670384,client_A,WRITE_THEN_READ,failure,failure,mongo1,241,199,local,1,0.46,True,True,
242,1789625830.667521,client_A,WRITE_THEN_READ,failure,failure,mongo1,242,199,local,1,0.48,True,True,
243,1789625830.6680217,client_A,WRITE_THEN_READ,failure,failure,mongo1,243,199,local,1,0.5,True,True,
244,1789625830.6684942,client_A,WRITE_THEN_READ,failure,failure,mongo1,244,199,local,1,0.47,True,True,
245,1789625830.668972,client_A,WRITE_THEN_READ,failure,failure,mongo1,245,199,local,1,0.48,True,True,
246,1789625830.6694896,client_A,WRITE_THEN_READ,failure,failure,mongo1,246,199,local,1,0.52,True,True,
247,1789625830.669951,client_A,WRITE_THEN_READ,failure,failure,mongo1,247,199,local,1,0.46,True,True,
248,1789625830.670559,client_A,WRITE_THEN_READ,failure,failure,mongo1,248,199,local,1,0.61,True,True,
249,1789625830.6709962,client_A,WRITE_THEN_READ,failure,failure,mongo1,249,199,local,1,0.44,True,True,
250,1789625830.6715086,client_A,WRITE_THEN_READ,failure,failure,mongo1,250,199,local,1,0.51,True,True,
251,1789625830.6719646,client_A,WRITE_THEN_READ,failure,failure,mongo1,251,199,local,1,0.46,True,True,
252,1789625830.672422,client_A,WRITE_THEN_READ,failure,failure,mongo1,252,199,local,1,0.46,True,True,
253,1789625830.672913,client_A,WRITE_THEN_READ,failure,failure,mongo1,253,199,local,1,0.49,True,True,
254,1789625830.67344,client_A,WRITE_THEN_READ,failure,failure,mongo1,254,199,local,1,0.53,True,True,
255,1789625830.6739085,client_A,WRITE_THEN_READ,failure,failure,mongo1,255,199,local,1,0.47,True,True,
256,1789625830.6744156,client_A,WRITE_THEN_READ,failure,failure,mongo1,256,199,local,1,0.51,True,True,
257,1789625830.6748624,client_A,WRITE_THEN_READ,failure,failure,mongo1,257,199,local,1,0.44,True,True,
258,1789625830.6753159,client_A,WRITE_THEN_READ,failure,failure,mongo1,258,199,local,1,0.45,True,True,
259,1789625830.6758018,client_A,WRITE_THEN_READ,failure,failure,mongo1,259,199,local,1,0.48,True,True,
260,1789625830.6763268,client_A,WRITE_THEN_READ,failure,failure,mongo1,260,199,local,1,0.52,True,True,
261,1789625830.6768503,client_A,WRITE_THEN_READ,failure,failure,mongo1,261,199,local,1,0.52,True,True,
262,1789625830.6774213,client_A,WRITE_THEN_READ,failure,failure,mongo1,262,199,local,1,0.57,True,True,
263,1789625830.6779373,client_A,WRITE_THEN_READ,failure,failure,mongo1,263,199,local,1,0.51,True,True,
264,1789625830.6785097,client_A,WRITE_THEN_READ,failure,failure,mongo1,264,199,local,1,0.57,True,True,
265,1789625830.6789656,client_A,WRITE_THEN_READ,failure,failure,mongo1,265,199,local,1,0.45,True,True,
266,1789625830.6794777,client_A,WRITE_THEN_READ,failure,failure,mongo1,266,199,local,1,0.51,True,True,
267,1789625830.6799212,client_A,WRITE_THEN_READ,failure,failure,mongo1,267,199,local,1,0.44,True,True,
