iteration,timestamp,client_id,operation,phase,scenario,failed_node,requested_version,observed_version,read_concern,write_concern,causal_session,latency_ms,success,violation,error
30,1789626916.2655778,client_A,WRITE_THEN_READ,normal,failure,,30,29,local,1,False,0.38,True,True,
31,1789626916.2659547,client_A,WRITE_THEN_READ,normal,failure,,31,29,local,1,False,0.38,True,True,
32,1789626916.2664835,client_A,WRITE_THEN_READ,normal,failure,,32,29,local,1,False,0.53,True,True,
33,1789626916.2668657,client_A,WRITE_THEN_READ,normal,failure,,33,31,local,1,False,0.38,True,True,
34,1789626916.267701,client_A,WRITE_THEN_READ,normal,failure,,34,34,local,1,False,0.83,True,False,
35,1789626916.268204,client_A,WRITE_THEN_READ,normal,failure,,35,35,local,1,False,0.5,True,False,
36,1789626916.2685466,client_A,WRITE_THEN_READ,normal,failure,,36,35,local,1,False,0.34,True,True,
37,1789626916.2689912,client_A,WRITE_THEN_READ,normal,failure,,37,37,local,1,False,0.44,True,False,
38,1789626916.2697585,client_A,WRITE_THEN_READ,normal,failure,,38,38,local,1,False,0.77,True,False,
39,1789626916.2702515,client_A,WRITE_THEN_READ,normal,failure,,39,39,local,1,False,0.49,True,False,
40,1789626916.2706609,client_A,WRITE_THEN_READ,normal,failure,,40,39,local,1,False,0.41,True,True,
41,1789626916.2710257,client_A,WRITE_THEN_READ,normal,failure,,41,40,local,1,False,0.36,True,True,
42,1789626916.2714412,client_A,WRITE_THEN_READ,normal,failure,,42,41,local,1,False,0.41,True,True,
43,1789626916.27176,client_A,WRITE_THEN_READ,normal,failure,,43,42,local,1,False,0.32,True,True,
44,1789626916.2721477,client_A,WRITE_THEN_READ,normal,failure,,44,43,local,1,False,0.39,True,True,
45,1789626916.272478,client_A,WRITE_THEN_READ,normal,failure,,45,44,local,1,False,0.33,True,True,
46,1789626916.273116,client_A,WRITE_THEN_READ,normal,failure,,46,45,local,1,False,0.64,True,True,
47,1789626916.2736382,client_A,WRITE_THEN_READ,normal,failure,,47,47,local,1,False,0.52,True,False,
48,1789626916.2742496,client_A,WRITE_THEN_READ,normal,failure,,48,48,local,1,False,0.61,True,False,
49,1789626916.274771,client_A,WRITE_THEN_READ,normal,failure,,49,49,local,1,False,0.52,True,False,
50,1789626916.27557,client_A,WRITE_THEN_READ,normal,failure,,50,49,local,1,False,0.8,True,True,
51,1789626916.2759933,client_A,WRITE_THEN_READ,normal,failure,,51,51,local,1,False,0.42,True,False,
52,1789626916.2764304,client_A,WRITE_THEN_READ,normal,failure,,52,51,local,1,False,0.43,True,True,
53,1789626916.2769966,client_A,WRITE_THEN_READ,normal,failure,,53,52,local,1,False,0.56,True,True,
54,1789626916.277378,client_A,WRITE_THEN_READ,normal,failure,,54,52,local,1,False,0.38,True,True,
55,1789626916.2777073,client_A,WRITE_THEN_READ,normal,failure,,55,53,local,1,False,0.33,True,True,
56,1789626916.2779884,client_A,WRITE_THEN_READ,normal,failure,,56,53,local,1,False,0.28,True,True,
57,1789626916.278295,client_A,WRITE_THEN_READ,normal,failure,,57,53,local,1,False,0.31,True,True,
58,1789626916.2787688,client_A,WRITE_THEN_READ,normal,failure,,58,57,local,1,False,0.47,True,True,
59,1789626916.2791116,client_A,WRITE_THEN_READ,normal,failure,,59,57,local,1,False,0.34,True,True,
60,1789626916.2796142,client_A,WRITE_THEN_READ,normal,failure,,60,57,local,1,False,0.5,True,True,
61,1789626916.2799344,client_A,WRITE_THEN_READ,normal,failure,,61,59,local,1,False,0.32,True,True,
62,1789626916.2802935,client_A,WRITE_THEN_READ,normal,failure,,62,59,local,1,False,0.36,True,True,
63,1789626916.28074,client_A,WRITE_THEN_READ,normal,failure,,63,62,local,1,False,0.45,True,True,
64,1789626916.281292,client_A,WRITE_THEN_READ,normal,failure,,64,63,local,1,False,0.55,True,True,
65,1789626916.2817037,client_A,WRITE_THEN_READ,normal,failure,,65,64,local,1,False,0.41,True,True,
66,1789626916.2821999,client_A,WRITE_THEN_READ,normal,failure,,66,65,local,1,False,0.49,True,True,
67,1789626916.2828505,client_A,WRITE_THEN_READ,normal,failure,,67,66,local,1,False,0.65,True,True,
68,1789626916.2832916,client_A,WRITE_THEN_READ,normal,failure,,68,67,local,1,False,0.44,True,True,
69,1789626916.2838001,client_A,WRITE_THEN_READ,normal,failure,,69,68,local,1,False,0.51,True,True,
70,1789626916.2845228,client_A,WRITE_THEN_READ,normal,failure,,70,69,local,1,False,0.72,True,True,
71,1789626916.2850256,client_A,WRITE_THEN_READ,normal,failure,,71,70,local,1,False,0.5,True,True,
72,1789626916.285393,client_A,WRITE_THEN_READ,normal,failure,,72,71,local,1,False,0.37,True,True,
73,1789626916.2856967,client_A,WRITE_THEN_READ,normal,failure,,73,72,local,1,False,0.3,True,True,
74,1789626916.2859955,client_A,WRITE_THEN_READ,normal,failure,,74,72,local,1,False,0.3,True,True,
75,1789626916.286411,client_A,WRITE_THEN_READ,normal,failure,,75,74,local,1,False,0.41,True,True,
76,1789626916.2868445,client_A,WRITE_THEN_READ,normal,failure,,76,75,local,1,False,0.43,True,True,
77,1789626916.287174,client_A,WRITE_THEN_READ,normal,failure,,77,76,local,1,False,0.33,True,True,
78,1789626916.2874842,client_A,WRITE_THEN_READ,normal,failure,,78,77,local,1,False,0.31,True,True,
79,1789626916.2877972,client_A,WRITE_THEN_READ,normal,failure,,79,78,local,1,False,0.31,True,True,
80,1789626916.288179,client_A,WRITE_THEN_READ,normal,failure,,80,78,local,1,False,0.38,True,True,
81,1789626916.2885573,client_A,WRITE_THEN_READ,normal,failure,,81,78,local,1,False,0.38,True,True,
82,1789626916.2889287,client_A,WRITE_THEN_READ,normal,failure,,82,80,local,1,False,0.37,True,True,
83,1789626916.2892575,client_A,WRITE_THEN_READ,normal,failure,,83,80,local,1,False,0.33,True,True,
84,1789626916.2896435,client_A,WRITE_THEN_READ,normal,failure,,84,83,local,1,False,0.38,True,True,
85,1789626916.2901735,client_A,WRITE_THEN_READ,normal,failure,,85,84,local,1,False,0.53,True,True,
86,1789626916.2908373,client_A,WRITE_THEN_READ,normal,failure,,86,85,local,1,False,0.66,True,True,
87,1789626916.2912645,client_A,WRITE_THEN_READ,normal,failure,,87,86,local,1,False,0.43,True,True,
88,1789626916.2917807,client_A,WRITE_THEN_READ,normal,failure,,88,87,local,1,False,0.51,True,True,
89,1789626916.2921624,client_A,WRITE_THEN_READ,normal,failure,,89,88,local,1,False,0.38,True,True,
90,1789626916.292632,client_A,WRITE_THEN_READ,normal,failure,,90,89,local,1,False,0.47,True,True,
91,1789626916.292946,client_A,WRITE_THEN_READ,normal,failure,,91,89,local,1,False,0.31,True,True,
92,1789626916.2932427,client_A,WRITE_THEN_READ,normal,failure,,92,89,local,1,False,0.29,True,True,
93,1789626916.293651,client_A,WRITE_THEN_READ,normal,failure,,93,90,local,1,False,0.41,True,True,
94,1789626916.2940733,client_A,WRITE_THEN_READ,normal,failure,,94,92,local,1,False,0.42,True,True,
95,1789626916.294485,client_A,WRITE_THEN_READ,normal,failure,,95,92,local,1,False,0.41,True,True,
96,1789626916.2951252,client_A,WRITE_THEN_READ,normal,failure,,96,95,local,1,False,0.64,True,True,
97,1789626916.2956402,client_A,WRITE_THEN_READ,normal,failure,,97,96,local,1,False,0.51,True,True,
98,1789626916.2959368,client_A,WRITE_THEN_READ,normal,failure,,98,97,local,1,False,0.29,True,True,
99,1789626916.296306,client_A,WRITE_THEN_READ,normal,failure,,99,97,local,1,False,0.37,True,True,
100,1789626916.2969046,client_A,WRITE_THEN_READ,normal,failure,,100,98,local,1,False,0.6,True,True,
101,1789626916.2972784,client_A,WRITE_THEN_READ,normal,failure,,101,100,local,1,False,0.36,True,True,
102,1789626916.2978034,client_A,WRITE_THEN_READ,normal,failure,,102,100,local,1,False,0.52,True,True,
103,1789626916.2981849,client_A,WRITE_THEN_READ,normal,failure,,103,101,local,1,False,0.38,True,True,
104,1789626916.2985485,client_A,WRITE_THEN_READ,normal,failure,,104,102,local,1,False,0.36,True,True,
105,1789626916.2989767,client_A,WRITE_THEN_READ,normal,failure,,105,102,local,1,False,0.43,True,True,
106,1789626916.299388,client_A,WRITE_THEN_READ,normal,failure,,106,105,local,1,False,0.41,True,True,
107,1789626916.2997437,client_A,WRITE_THEN_READ,normal,failure,,107,106,local,1,False,0.35,True,True,
108,1789626916.3000727,client_A,WRITE_THEN_READ,normal,failure,,108,107,local,1,False,0.33,True,True,
109,1789626916.300628,client_A,WRITE_THEN_READ,normal,failure,,109,108,local,1,False,0.55,True,True,
110,1789626916.3009586,client_A,WRITE_THEN_READ,normal,failure,,110,109,local,1,False,0.33,True,True,
111,1789626916.3014293,client_A,WRITE_THEN_READ,normal,failure,,111,110,local,1,False,0.47,True,True,
112,1789626916.3018456,client_A,WRITE_THEN_READ,normal,failure,,112,111,local,1,False,0.41,True,True,
113,1789626916.3024678,client_A,WRITE_THEN_READ,normal,failure,,113,112,local,1,False,0.62,True,True,
114,1789626916.3027914,client_A,WRITE_THEN_READ,normal,failure,,114,113,local,1,False,0.32,True,True,
115,1789626916.3033757,client_A,WRITE_THEN_READ,normal,failure,,115,115,local,1,False,0.58,True,False,
116,1789626916.3038065,client_A,WRITE_THEN_READ,normal,failure,,116,115,local,1,False,0.43,True,True,
117,1789626916.3043668,client_A,WRITE_THEN_READ,normal,failure,,117,116,local,1,False,0.56,True,True,
118,1789626916.304913,client_A,WRITE_THEN_READ,normal,failure,,118,117,local,1,False,0.54,True,True,
119,1789626916.3055942,client_A,WRITE_THEN_READ,normal,failure,,119,118,local,1,False,0.68,True,True,
120,1789626916.3059735,client_A,WRITE_THEN_READ,normal,failure,,120,119,local,1,False,0.38,True,True,
121,1789626916.3064818,client_A,WRITE_THEN_READ,normal,failure,,121,120,local,1,False,0.51,True,True,
122,1789626916.3069015,client_A,WRITE_THEN_READ,normal,failure,,122,121,local,1,False,0.42,True,True,
123,1789626916.3073187,client_A,WRITE_THEN_READ,normal,failure,,123,122,local,1,False,0.42,True,True,
124,1789626916.3077168,client_A,WRITE_THEN_READ,normal,failure,,124,122,local,1,False,0.4,True,True,
125,1789626916.3081293,client_A,WRITE_THEN_READ,normal,failure,,125,124,local,1,False,0.41,True,True,
126,1789626916.3084302,client_A,WRITE_THEN_READ,normal,failure,,126,125,local,1,False,0.3,True,True,
127,1789626916.3087645,client_A,WRITE_THEN_READ,normal,failure,,127,125,local,1,False,0.33,True,True,
128,1789626916.3091724,client_A,WRITE_THEN_READ,normal,failure,,128,126,local,1,False,0.41,True,True,
129,1789626916.3094969,client_A,WRITE_THEN_READ,normal,failure,,129,128,local,1,False,0.32,True,True,
130,1789626916.309885,client_A,WRITE_THEN_READ,normal,failure,,130,128,local,1,False,0.38,True,True,
131,1789626916.3102329,client_A,WRITE_THEN_READ,normal,failure,,131,129,local,1,False,0.35,True,True,
132,1789626916.3105931,client_A,WRITE_THEN_READ,normal,failure,,132,131,local,1,False,0.36,True,True,
133,1789626916.3109913,client_A,WRITE_THEN_READ,normal,failure,,133,132,local,1,False,0.4,True,True,
134,1789626916.3115015,client_A,WRITE_THEN_READ,normal,failure,,134,131,local,1,False,0.51,True,True,
135,1789626916.3118632,client_A,WRITE_THEN_READ,normal,failure,,135,134,local,1,False,0.36,True,True,
136,1789626916.3123083,client_A,WRITE_THEN_READ,normal,failure,,136,135,local,1,False,0.44,True,True,
137,1789626916.3126528,client_A,WRITE_THEN_READ,normal,failure,,137,135,local,1,False,0.34,True,True,
138,1789626916.3129659,client_A,WRITE_THEN_READ,normal,failure,,138,136,local,1,False,0.31,True,True,
139,1789626916.313286,client_A,WRITE_THEN_READ,normal,failure,,139,137,local,1,False,0.32,True,True,
140,1789626916.3136587,client_A,WRITE_THEN_READ,normal,failure,,140,139,local,1,False,0.37,True,True,
141,1789626916.3139763,client_A,WRITE_THEN_READ,normal,failure,,141,137,local,1,False,0.32,True,True,
142,1789626916.3145459,client_A,WRITE_THEN_READ,normal,failure,,142,141,local,1,False,0.57,True,True,
143,1789626916.3148685,client_A,WRITE_THEN_READ,normal,failure,,143,140,local,1,False,0.32,True,True,
144,1789626916.3152766,client_A,WRITE_THEN_READ,normal,failure,,144,142,local,1,False,0.41,True,True,
145,1789626916.3155956,client_A,WRITE_THEN_READ,normal,failure,,145,144,local,1,False,0.32,True,True,
146,1789626916.3160205,client_A,WRITE_THEN_READ,normal,failure,,146,145,local,1,False,0.42,True,True,
147,1789626916.3165102,client_A,WRITE_THEN_READ,normal,failure,,147,146,local,1,False,0.49,True,True,
148,1789626916.3169794,client_A,WRITE_THEN_READ,normal,failure,,148,147,local,1,False,0.47,True,True,
149,1789626916.317435,client_A,WRITE_THEN_READ,normal,failure,,149,148,local,1,False,0.45,True,True,
150,1789626916.3178391,client_A,WRITE_THEN_READ,normal,failure,,150,149,local,1,False,0.4,True,True,
151,1789626916.3181684,client_A,WRITE_THEN_READ,normal,failure,,151,150,local,1,False,0.33,True,True,
152,1789626916.3185554,client_A,WRITE_THEN_READ,normal,failure,,152,150,local,1,False,0.39,True,True,
153,1789626916.3190446,client_A,WRITE_THEN_READ,normal,failure,,153,152,local,1,False,0.49,True,True,
154,1789626916.3196797,client_A,WRITE_THEN_READ,normal,failure,,154,153,local,1,False,0.63,True,True,
155,1789626916.3200371,client_A,WRITE_THEN_READ,normal,failure,,155,153,local,1,False,0.36,True,True,
156,1789626916.3204238,client_A,WRITE_THEN_READ,normal,failure,,156,154,local,1,False,0.39,True,True,
157,1789626916.3209856,client_A,WRITE_THEN_READ,normal,failure,,157,156,local,1,False,0.56,True,True,
158,1789626916.3214645,client_A,WRITE_THEN_READ,normal,failure,,158,157,local,1,False,0.48,True,True,
159,1789626916.322047,client_A,WRITE_THEN_READ,normal,failure,,159,158,local,1,False,0.58,True,True,
160,1789626916.3224607,client_A,WRITE_THEN_READ,normal,failure,,160,159,local,1,False,0.41,True,True,
161,1789626916.3228528,client_A,WRITE_THEN_READ,normal,failure,,161,160,local,1,False,0.39,True,True,
162,1789626916.3233528,client_A,WRITE_THEN_READ,normal,failure,,162,161,local,1,False,0.5,True,True,
163,1789626916.3236513,client_A,WRITE_THEN_READ,normal,failure,,163,162,local,1,False,0.3,True,True,
164,1789626916.3242664,client_A,WRITE_THEN_READ,normal,failure,,164,163,local,1,False,0.61,True,True,
165,1789626916.3246975,client_A,WRITE_THEN_READ,normal,failure,,165,164,local,1,False,0.43,True,True,
166,1789626916.3251624,client_A,WRITE_THEN_READ,normal,failure,,166,165,local,1,False,0.46,True,True,
167,1789626916.3255873,client_A,WRITE_THEN_READ,normal,failure,,167,166,local,1,False,0.42,True,True,
168,1789626916.3260348,client_A,WRITE_THEN_READ,normal,failure,,168,167,local,1,False,0.45,True,True,
169,1789626916.3264723,client_A,WRITE_THEN_READ,normal,failure,,169,168,local,1,False,0.44,True,True,
170,1789626916.3268454,client_A,WRITE_THEN_READ,normal,failure,,170,169,local,1,False,0.37,True,True,
171,1789626916.3272362,client_A,WRITE_THEN_READ,normal,failure,,171,169,local,1,False,0.39,True,True,
172,1789626916.3275337,client_A,WRITE_THEN_READ,normal,failure,,172,171,local,1,False,0.3,True,True,
173,1789626916.3278997,client_A,WRITE_THEN_READ,normal,failure,,173,172,local,1,False,0.36,True,True,
174,1789626916.3282745,client_A,WRITE_THEN_READ,normal,failure,,174,173,local,1,False,0.37,True,True,
175,1789626916.3286176,client_A,WRITE_THEN_READ,normal,failure,,175,174,local,1,False,0.34,True,True,
176,1789626916.3289266,client_A,WRITE_THEN_READ,normal,failure,,176,175,local,1,False,0.31,True,True,
177,1789626916.3293555,client_A,WRITE_THEN_READ,normal,failure,,177,176,local,1,False,0.43,True,True,
178,1789626916.3298364,client_A,WRITE_THEN_READ,normal,failure,,178,176,local,1,False,0.48,True,True,
179,1789626916.330141,client_A,WRITE_THEN_READ,normal,failure,,179,178,local,1,False,0.3,True,True,
180,1789626916.3306,client_A,WRITE_THEN_READ,normal,failure,,180,178,local,1,False,0.46,True,True,
181,1789626916.3311706,client_A,WRITE_THEN_READ,normal,failure,,181,180,local,1,False,0.57,True,True,
182,1789626916.3316708,client_A,WRITE_THEN_READ,normal,failure,,182,181,local,1,False,0.5,True,True,
183,1789626916.3322163,client_A,WRITE_THEN_READ,normal,failure,,183,182,local,1,False,0.54,True,True,
184,1789626916.3326833,client_A,WRITE_THEN_READ,normal,failure,,184,183,local,1,False,0.46,True,True,
185,1789626916.3333058,client_A,WRITE_THEN_READ,normal,failure,,185,184,local,1,False,0.62,True,True,
186,1789626916.333663,client_A,WRITE_THEN_READ,normal,failure,,186,185,local,1,False,0.36,True,True,
187,1789626916.3341243,client_A,WRITE_THEN_READ,normal,failure,,187,186,local,1,False,0.46,True,True,
188,1789626916.3344843,client_A,WRITE_THEN_READ,normal,failure,,188,187,local,1,False,0.36,True,True,
189,1789626916.3350687,client_A,WRITE_THEN_READ,normal,failure,,189,189,local,1,False,0.58,True,False,
190,1789626916.335585,client_A,WRITE_THEN_READ,normal,failure,,190,190,local,1,False,0.51,True,False,
191,1789626916.3359766,client_A,WRITE_THEN_READ,normal,failure,,191,190,local,1,False,0.39,True,True,
192,1789626916.3364081,client_A,WRITE_THEN_READ,normal,failure,,192,191,local,1,False,0.43,True,True,
193,1789626916.33695,client_A,WRITE_THEN_READ,normal,failure,,193,193,local,1,False,0.54,True,False,
194,1789626916.3373992,client_A,WRITE_THEN_READ,normal,failure,,194,193,local,1,False,0.45,True,True,
195,1789626916.3378348,client_A,WRITE_THEN_READ,normal,failure,,195,193,local,1,False,0.43,True,True,
196,1789626916.338381,client_A,WRITE_THEN_READ,normal,failure,,196,195,local,1,False,0.54,True,True,
197,1789626916.3389146,client_A,WRITE_THEN_READ,normal,failure,,197,197,local,1,False,0.53,True,False,
198,1789626916.3394644,client_A,WRITE_THEN_READ,normal,failure,,198,198,local,1,False,0.55,True,False,
199,1789626916.34008,client_A,WRITE_THEN_READ,normal,failure,,199,199,local,1,False,0.61,True,False,
200,1789626926.5634024,client_A,WRITE_THEN_READ,failure,failure,mongo2,200,199,local,1,False,1.31,True,True,
201,1789626926.5640073,client_A,WRITE_THEN_READ,failure,failure,mongo2,201,199,local,1,False,0.59,True,True,
202,1789626926.5645745,client_A,WRITE_THEN_READ,failure,failure,mongo2,202,199,local,1,False,0.56,True,True,
203,1789626926.5650606,client_A,WRITE_THEN_READ,failure,failure,mongo2,203,199,local,1,False,0.48,True,True,
204,1789626926.5655687,client_A,WRITE_THEN_READ,failure,failure,mongo2,204,199,local,1,False,0.51,True,True,
205,1789626926.5661635,client_A,WRITE_THEN_READ,failure,failure,mongo2,205,199,local,1,False,0.59,True,True,
206,1789626926.566762,client_A,WRITE_THEN_READ,failure,failure,mongo2,206,199,local,1,False,0.6,True,True,
207,1789626926.567296,client_A,WRITE_THEN_READ,failure,failure,mongo2,207,199,local,1,False,0.53,True,True,
208,1789626926.5678027,client_A,WRITE_THEN_READ,failure,failure,mongo2,208,199,local,1,False,0.5,True,True,
209,1789626926.5683148,client_A,WRITE_THEN_READ,failure,failure,mongo2,209,199,local,1,False,0.51,True,True,
210,1789626926.5688255,client_A,WRITE_THEN_READ,failure,failure,mongo2,210,199,local,1,False,0.51,True,True,
211,1789626926.5692973,client_A,WRITE_THEN_READ,failure,failure,mongo2,211,199,local,1,False,0.47,True,True,
212,1789626926.5697703,client_A,WRITE_THEN_READ,failure,failure,mongo2,212,199,local,1,False,0.47,True,True,
213,1789626926.570284,client_A,WRITE_THEN_READ,failure,failure,mongo2,213,199,local,1,False,0.51,True,True,
214,1789626926.5707943,client_A,WRITE_THEN_READ,failure,failure,mongo2,214,199,local,1,False,0.51,True,True,
215,1789626926.5714273,client_A,WRITE_THEN_READ,failure,failure,mongo2,215,199,local,1,False,0.63,True,True,
216,1789626926.5718687,client_A,WRITE_THEN_READ,failure,failure,mongo2,216,199,local,1,False,0.44,True,True,
217,1789626926.5724266,client_A,WRITE_THEN_READ,failure,failure,mongo2,217,199,local,1,False,0.56,True,True,
218,1789626926.5729163,client_A,WRITE_THEN_READ,failure,failure,mongo2,218,199,local,1,False,0.49,True,True,
219,1789626926.5734425,client_A,WRITE_THEN_READ,failure,failure,mongo2,219,199,local,1,False,0.52,True,True,
220,1789626926.5739293,client_A,WRITE_THEN_READ,failure,failure,mongo2,220,199,local,1,False,0.49,True,True,
221,1789626926.574463,client_A,WRITE_THEN_READ,failure,failure,mongo2,221,199,local,1,False,0.53,True,True,
222,1789626926.5749874,client_A,WRITE_THEN_READ,failure,failure,mongo2,222,199,local,1,False,0.52,True,True,
223,1789626926.5754998,client_A,WRITE_THEN_READ,failure,failure,mongo2,223,199,local,1,False,0.51,True,True,
224,1789626926.5759985,client_A,WRITE_THEN_READ,failure,failure,mongo2,224,199,local,1,False,0.5,True,True,
225,1789626926.5765164,client_A,WRITE_THEN_READ,failure,failure,mongo2,225,199,local,1,False,0.52,True,True,
226,1789626926.5770106,client_A,WRITE_THEN_READ,failure,failure,mongo2,226,199,local,1,False,0.49,True,True,
227,1789626926.5775084,client_A,WRITE_THEN_READ,failure,failure,mongo2,227,199,local,1,False,0.5,True,True,
228,1789626926.5780191,client_A,WRITE_THEN_READ,failure,failure,mongo2,228,199,local,1,False,0.51,True,True,
229,1789626926.5785282,client_A,WRITE_THEN_READ,failure,failure,mongo2,229,199,local,1,False,0.51,True,True,
230,1789626926.578998,client_A,WRITE_THEN_READ,failure,failure,mongo2,230,199,local,1,False,0.47,True,True,
231,1789626926.5795312,client_A,WRITE_THEN_READ,failure,failure,mongo2,231,199,local,1,False,0.53,True,True,
232,1789626926.5800142,client_A,WRITE_THEN_READ,failure,failure,mongo2,232,199,local,1,False,0.48,True,True,
233,1789626926.580507,client_A,WRITE_THEN_READ,failure,failure,mongo2,233,199,local,1,False,0.49,True,True,
234,1789626926.5809944,client_A,WRITE_THEN_READ,failure,failure,mongo2,234,199,local,1,False,0.48,True,True,
235,1789626926.581482,client_A,WRITE_THEN_READ,failure,failure,mongo2,235,199,local,1,False,0.49,True,True,
236,1789626926.5819404,client_A,WRITE_THEN_READ,failure,failure,mongo2,236,199,local,1,False,0.46,True,True,
237,1789626926.5824866,client_A,WRITE_THEN_READ,failure,failure,mongo2,237,199,local,1,False,0.54,True,True,
238,1789626926.582992,client_A,WRITE_THEN_READ,failure,failure,mongo2,238,199,local,1,False,0.5,True,True,
239,1789626926.5835562,client_A,WRITE_THEN_READ,failure,failure,mongo2,239,199,local,1,False,0.56,True,True,
240,1789626926.5840855,client_A,WRITE_THEN_READ,failure,failure,mongo2,240,199,local,1,False,0.53,True,True,
241,1789626926.5846963,client_A,WRITE_THEN_READ,failure,failure,mongo2,241,199,local,1,False,0.61,True,True,
242,1789626926.5852082,client_A,WRITE_THEN_READ,failure,failure,mongo2,242,199,local,1,False,0.51,True,True,
243,1789626926.5857413,client_A,WRITE_THEN_READ,failure,failure,mongo2,243,199,local,1,False,0.53,True,True,
244,1789626926.5863824,client_A,WRITE_THEN_READ,failure,failure,mongo2,244,199,local,1,False,0.64,True,True,
245,1789626926.5868108,client_A,WRITE_THEN_READ,failure,failure,mongo2,245,199,local,1,False,0.43,True,True,
246,1789626926.5872433,client_A,WRITE_THEN_READ,failure,failure,mongo2,246,199,local,1,False,0.43,True,True,
247,1789626926.5877216,client_A,WRITE_THEN_READ,failure,failure,mongo2,247,199,local,1,False,0.48,True,True,
248,1789626926.588159,client_A,WRITE_THEN_READ,failure,failure,mongo2,248,199,local,1,False,0.44,True,True,
249,1789626926.5886474,client_A,WRITE_THEN_READ,failure,failure,mongo2,249,199,local,1,False,0.49,True,True,
250,1789626926.5891826,client_A,WRITE_THEN_READ,failure,failure,mongo2,250,199,local,1,False,0.53,True,True,
251,1789626926.589682,client_A,WRITE_THEN_READ,failure,failure,mongo2,251,199,local,1,False,0.5,True,True,
252,1789626926.5902262,client_A,WRITE_THEN_READ,failure,failure,mongo2,252,199,local,1,False,0.54,True,True,
253,1789626926.5910301,client_A,WRITE_THEN_READ,failure,failure,mongo2,253,199,local,1,False,0.8,True,True,
254,1789626926.5915365,client_A,WRITE_THEN_READ,failure,failure,mongo2,254,199,local,1,False,0.5,True,True,
255,1789626926.5920014,client_A,WRITE_THEN_READ,failure,failure,mongo2,255,199,local,1,False,0.46,True,True,
256,1789626926.5925138,client_A,WRITE_THEN_READ,failure,failure,mongo2,256,199,local,1,False,0.51,True,True,
257,1789626926.5930147,client_A,WRITE_THEN_READ,failure,failure,mongo2,257,199,local,1,False,0.5,True,True,
258,1789626926.5935478,client_A,WRITE_THEN_READ,failure,failure,mongo2,258,199,local,1,False,0.53,True,True,
